index,model,epochs,lr,save_interval,not_save,verbose_interval,batch_size,dataset,momentum,wd,sparsity,patience,bilinear,init_type,score
unet_70_normal_bowl_2020_Mar_09_21:26:06_bilinear,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,70,5,True,normal,0.9007639115151272
unet_70_signed_bowl_2020_Mar_01_20:59:02,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,70,5,False,signed,0.9008045753186326
unet_70_signed_bowl_2020_Mar_09_22:25:09_bilinear,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,70,5,True,signed,0.9037190247168163
unet_90_normal_bowl_2020_Mar_01_20:05:15,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,90,5,False,normal,0.8873797810732077
unet_90_normal_bowl_2020_Mar_09_21:38:07_bilinear,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,90,5,True,normal,0.9010283760196885
unet_90_signed_bowl_2020_Mar_01_21:10:58,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,90,5,False,signed,0.8969337985969993
unet_90_signed_bowl_2020_Mar_09_22:36:55_bilinear,unet,50,0.1,-1,True,50,16,bowl,0.9,0.0005,90,5,True,signed,0.8953776632980202
vgg11bn_10_normal_cifar10_2020_Mar_01_20:32:57,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,10,5,False,normal,0.8097
vgg11bn_10_signed_cifar10_2020_Mar_01_22:43:56,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,10,5,False,signed,0.8207
vgg11bn_30_normal_cifar10_2020_Mar_01_21:11:39,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,30,5,False,normal,0.837
vgg11bn_30_signed_cifar10_2020_Mar_01_23:06:54,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,30,5,False,signed,0.8423
vgg11bn_50_normal_cifar10_2020_Mar_01_21:34:56,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,50,5,False,normal,0.8326
vgg11bn_50_signed_cifar10_2020_Mar_01_23:29:49,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,50,5,False,signed,0.8272
vgg11bn_70_normal_cifar10_2020_Mar_01_21:58:08,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,70,5,False,normal,0.7913
vgg11bn_70_signed_cifar10_2020_Mar_01_23:52:41,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,70,5,False,signed,0.7939
vgg11bn_90_normal_cifar10_2020_Mar_01_22:21:10,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,90,5,False,normal,0.5397
vgg11bn_90_signed_cifar10_2020_Mar_02_00:15:24,vgg11bn,50,0.5,-1,True,50,2048,cifar10,0.9,0.005,90,5,False,signed,0.5051
